code_prefix,name,id,parent_id:id
2244,Industrial Tools,azkatech_gaccount_lb_308,azkatech_gaccount_lb_104
2250,Transportation Equipement,azkatech_gaccount_lb_309,azkatech_gaccount_lb_105
2261,General Installations and Other Improvements and developments,azkatech_gaccount_lb_310,azkatech_gaccount_lb_106
2262,Offie and Computer equipment,azkatech_gaccount_lb_311,azkatech_gaccount_lb_106
2263,Furniture,azkatech_gaccount_lb_312,azkatech_gaccount_lb_106
2264,Agricultural Investments,azkatech_gaccount_lb_313,azkatech_gaccount_lb_106
2265,Reusable packing Material,azkatech_gaccount_lb_314,azkatech_gaccount_lb_106
2271,Land,azkatech_gaccount_lb_315,azkatech_gaccount_lb_107
2273,Buildings,azkatech_gaccount_lb_316,azkatech_gaccount_lb_107
2274,"Technical installations,industrial equipment & tools",azkatech_gaccount_lb_317,azkatech_gaccount_lb_107
2276,Other tangible fixed assets,azkatech_gaccount_lb_318,azkatech_gaccount_lb_107
2280,Advance Payment On Fixed Assets,azkatech_gaccount_lb_319,azkatech_gaccount_lb_108
2510,Equity Participations,azkatech_gaccount_lb_320,azkatech_gaccount_lb_109
2520,Receivable Related To Equity Participation,azkatech_gaccount_lb_321,azkatech_gaccount_lb_110
2531,Ownership rights (Minor participations),azkatech_gaccount_lb_322,azkatech_gaccount_lb_111
2535,Debenture loans(bonds and Debentures),azkatech_gaccount_lb_323,azkatech_gaccount_lb_111
